FIPS,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,svi_e_totpop,svi_ep_pov150,svi_ep_unemp,svi_ep_nohsdp,svi_ep_uninsur,svi_ep_age65,svi_ep_limeng,svi_ep_minrty,svi_ep_munit,svi_ep_mobile,svi_ep_noveh,svi_ep_groupq
25009221500,0.8016,0.7947,0.8493,0.1674,0.8205,3256,23.7,5.2,13.9,3.7,26.4,6.5,9.9,23.7,0.0,22.9,2.5
25009221600,0.6824,0.7181,0.6723,0.5353,0.4903,2809,31.3,3.7,3.1,4.5,11.2,2.6,27.6,12.5,0.0,14.4,0.0
25009221700,0.4068,0.7263,0.339,0.1218,0.1293,2696,19.8,3.3,6.2,4.8,35.9,4.1,8.3,2.0,0.0,5.0,0.0
25009221800,0.1262,0.4438,0.1281,0.0606,0.0979,1889,10.2,7.4,5.0,0.9,29.4,0.1,6.1,0.0,0.0,0.0,10.4
25009221901,0.1381,0.381,0.0967,0.035,0.2323,3446,6.2,6.1,1.9,2.7,25.1,0.0,4.6,12.5,0.0,8.7,0.0
25009221902,0.2367,0.4118,0.1011,0.1399,0.3917,3372,8.8,1.7,6.0,2.7,24.1,0.6,8.9,21.3,0.0,7.6,0.0
25009222100,0.1161,0.3773,0.5399,0.0062,0.0113,3674,12.7,1.3,4.6,2.3,15.1,0.8,2.0,0.8,0.0,1.3,0.0
25009223100,0.3854,0.4018,0.5066,0.0881,0.3854,3912,10.8,4.3,1.9,1.9,28.4,0.3,7.1,9.3,0.0,9.1,3.1
25009223200,0.2153,0.4275,0.1268,0.2305,0.2461,4046,11.7,1.4,4.9,3.4,15.3,1.1,12.2,3.1,0.0,7.2,0.1
25009223300,0.0119,0.0364,0.1086,0.0575,0.0741,5833,7.4,2.4,0.6,0.3,20.5,0.7,6.0,8.4,0.0,2.8,0.1
25009250100,0.9812,0.9291,0.99,0.9475,0.8958,3809,39.0,14.4,28.0,2.0,15.5,32.5,83.2,95.3,0.0,41.7,0.3
25009250200,0.8349,0.914,0.7853,0.9569,0.4802,6831,13.4,14.0,22.0,6.7,6.4,15.3,86.7,0.0,0.0,10.0,0.7
25009250300,0.8851,0.9353,0.8117,0.9925,0.6196,2504,33.9,6.4,19.5,5.2,7.3,38.2,96.5,16.4,0.0,20.7,0.0
25009250400,0.9617,0.9222,0.9441,0.9913,0.8632,4282,38.3,12.2,40.9,1.7,9.7,27.4,95.8,17.2,0.9,25.9,0.0
25009250500,0.9341,0.9906,0.9127,0.9831,0.5593,4392,40.3,11.0,36.5,6.8,7.5,32.7,94.1,3.1,0.0,18.3,0.6
25009250600,0.9008,0.9441,0.8675,0.965,0.6008,5933,28.1,9.2,28.7,7.9,8.0,27.0,88.7,5.0,0.0,10.0,0.5
25009250700,0.8876,0.9561,0.8475,0.9775,0.5254,5484,27.2,9.4,26.5,5.9,6.7,31.0,92.7,4.9,0.0,15.3,0.1
25009250800,0.9517,0.9473,0.8776,0.9494,0.8556,8550,34.1,9.5,21.1,5.2,6.8,19.2,83.6,12.2,0.0,22.5,4.2
25009250900,0.9774,0.9944,0.9881,0.9981,0.6955,2425,61.6,12.6,38.9,4.9,12.9,40.9,98.7,20.6,0.0,33.3,0.0
25009251000,0.9987,0.9981,0.9711,0.9819,0.9969,1907,44.5,14.3,48.5,7.1,9.9,36.1,93.9,24.1,1.8,28.2,2.8
25009251100,0.9975,0.9479,0.9994,0.935,0.9605,2857,51.6,7.7,44.0,3.5,27.6,36.1,79.3,46.0,0.0,68.6,8.3
25009251200,0.9718,0.9749,0.9303,0.995,0.8468,1494,48.1,10.9,44.5,3.5,8.0,38.0,97.5,24.0,0.0,47.4,0.3
25009251300,0.9818,1.0,0.9642,0.9875,0.7564,3677,54.6,16.3,54.0,10.9,8.7,32.0,94.8,6.6,0.0,42.4,0.4
25009251400,0.9648,0.9881,0.9278,0.9706,0.7815,5570,43.5,13.9,33.3,5.7,11.6,28.2,90.9,6.8,0.0,21.6,1.5
25009251500,0.9887,0.968,0.9504,0.9575,0.9617,7054,33.9,9.9,24.0,8.3,9.3,18.7,87.0,15.3,1.6,24.1,0.3
25009251600,0.9102,0.9617,0.8305,0.9656,0.6416,6935,32.2,12.4,27.4,7.0,7.0,33.6,88.8,22.0,0.0,18.7,0.0
25009251700,0.9222,0.85,0.6987,0.9419,0.978,5881,27.4,7.7,16.1,2.9,10.5,21.6,81.7,17.1,1.3,11.0,1.2
25009251800,0.7702,0.8311,0.7081,0.8944,0.4401,8482,18.5,5.0,18.2,4.8,10.8,9.9,68.2,10.7,0.0,5.3,0.1
25009252101,0.6943,0.779,0.7464,0.7177,0.2869,3529,14.8,4.7,8.1,8.6,15.9,7.1,41.1,12.5,0.0,7.2,0.7
25009252102,0.0973,0.1858,0.2856,0.5634,0.037,4607,2.7,5.2,2.5,1.9,19.4,0.4,29.7,0.0,0.0,2.9,0.3
25009252201,0.3007,0.4055,0.5405,0.5678,0.0628,3450,14.5,1.9,14.5,1.0,17.2,5.6,29.9,3.2,0.0,2.2,0.3
25009252202,0.1594,0.3233,0.2097,0.4978,0.0891,3611,4.3,2.6,4.8,4.9,16.9,3.5,24.8,0.7,0.0,2.9,0.1
25009252300,0.9479,0.9215,0.9397,0.8557,0.8217,8133,25.6,9.9,18.4,5.1,19.8,13.6,59.4,15.4,0.0,14.7,2.7
25009252400,0.8701,0.9504,0.8004,0.8882,0.5618,4407,27.0,9.8,18.3,7.7,10.1,13.7,66.8,7.6,0.0,11.8,0.2
25009252501,0.8004,0.833,0.8073,0.8026,0.5279,5309,17.0,8.2,15.8,4.6,12.4,6.3,51.0,8.2,0.0,3.7,1.5
25009252502,0.9278,0.8318,0.914,0.722,0.9466,4837,24.9,8.6,8.2,5.5,20.1,4.7,41.6,10.7,1.5,5.5,3.6
25009252601,0.5574,0.5995,0.887,0.6708,0.0847,7175,10.0,7.2,8.1,1.8,19.9,4.0,37.4,12.3,0.0,2.0,0.1
