GEOID,tract_name,county,population,median_household_income,poverty_rate,renter_rate,no_vehicle_rate,multifamily_share,rent_burdened_share,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,public_ev_station_count,public_dc_fast_station_count,public_dc_fast_port_count,nearest_public_ev_station_miles,solar_proxy_municipality,municipal_solar_project_count,municipal_residential_solar_project_count,municipal_solar_capacity_dc_mw,doe_lead_join_status
25017341302,Census Tract 3413.02,Middlesex,2598.0,121813.0,0.0950731331793687,0.8213984835720304,0.1634372367312552,0.8135179153094463,0.3056410256410256,0.4457,0.4262,0.0703,0.7308,0.7483,0,0,0,0.342,MALDEN,871,849,7.8276319999999995,not_available
25017370402,Census Tract 3704.02,Middlesex,1409.0,147500.0,0.0832106038291605,0.5375375375375375,0.06006006006006,0.6147308781869688,0.3100558659217877,0.3829,0.2197,0.1023,0.7789,0.7301,1,0,0,0.235,WATERTOWN,418,385,11.216307,not_available
25017350201,Census Tract 3502.01,Middlesex,2860.0,140972.0,0.0851365732529265,0.6098130841121495,0.0919003115264797,0.8374905517762661,0.3639846743295019,0.4783,0.4532,0.2266,0.7252,0.5455,0,0,0,0.303,SOMERVILLE,752,707,10.104102999999999,not_available
25017363105,Census Tract 3631.05,Middlesex,4210.0,125833.0,0.043743890518084,0.4388535031847134,0.0261146496815286,0.4474002418379685,0.6458635703918723,0.7715,0.8117,0.732,0.8139,0.5041,2,2,2,0.499,ACTON,720,669,17.895219,not_available
25025070103,Census Tract 701.03,Suffolk,656.0,83750.0,0.0939907550077041,0.8279569892473119,0.4946236559139785,0.9147540983606556,0.5064935064935064,0.7721,0.7062,0.5022,0.9157,0.8286,0,0,0,0.131,BOSTON,4471,4197,71.531141,not_available
25025170101,Census Tract 1701.01,Suffolk,3702.0,97596.0,0.1049162318044493,0.4888705688375927,0.1986809563066776,0.5690343176376695,0.5733558178752108,0.882,0.8035,0.8719,0.797,0.8625,0,0,0,0.487,REVERE,1329,1289,11.942450999999998,not_available
25025070501,Census Tract 705.01,Suffolk,2095.0,225000.0,0.0291169451073985,0.4309338521400778,0.1429961089494163,0.9108061749571184,0.2866817155756208,0.2034,0.1638,0.0559,0.4553,0.6767,0,0,0,0.315,BOSTON,4471,4197,71.531141,not_available
25017359301,Census Tract 3593.01,Middlesex,0.0,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,1,0,0,0.33,CONCORD,344,322,11.286854,not_available
25025070104,Census Tract 701.04,Suffolk,2491.0,235950.0,0.2123645122440786,0.4254352763058289,0.4587433762301287,0.9502237136465324,0.5249110320284698,0.42,0.2279,0.0477,0.6483,0.9567,51,0,0,0.017,BOSTON,4471,4197,71.531141,not_available
25025070901,Census Tract 709.01,Suffolk,1173.0,39583.0,0.2435233160621761,0.9028475711892796,0.6800670016750419,0.8830963665086888,0.536178107606679,0.8136,0.8161,0.7834,0.9413,0.6146,0,0,0,0.349,BOSTON,4471,4197,71.531141,not_available
25021404201,Census Tract 4042.01,Norfolk,3886.0,250001.0,0.0164792048129741,0.0822027134876296,0.0351157222665602,0.0664629488158899,0.4174757281553398,0.1996,0.0119,0.4557,0.3442,0.4915,1,1,2,0.388,WELLESLEY,103,96,0.9873540000000001,not_available
25021422301,Census Tract 4223.01,Norfolk,3528.0,161972.0,0.0681237581606585,0.078902229845626,0.0283018867924528,0.0373608903020667,0.6195652173913043,0.1858,0.2756,0.221,0.2386,0.2291,0,0,0,0.779,WEYMOUTH,903,873,10.085437,not_available
25021404302,Census Tract 4043.02,Norfolk,3669.0,171786.0,0.0380526021264689,0.1690042075736325,0.0231416549789621,0.1590277777777777,0.4024896265560166,0.4407,0.2662,0.7728,0.6065,0.2888,3,0,0,0.259,WELLESLEY,103,96,0.9873540000000001,not_available
25021402300,Census Tract 4023,Norfolk,4530.0,156354.0,0.0314978472694312,0.0033204205866076,0.06087437742114,0.0301204819277108,0.0,0.5487,0.4595,0.5775,0.321,0.6315,1,0,0,0.875,DEDHAM,478,454,9.047156999999999,not_available
25021410400,Census Tract 4104,Norfolk,6958.0,109327.0,0.0855130784708249,0.3538804307463795,0.0441886372075751,0.3785740137531668,0.440713536201469,0.1707,0.3666,0.1984,0.3585,0.1067,0,0,0,0.837,FOXBOROUGH,245,223,8.405213,not_available
25021403100,Census Tract 4031,Norfolk,7496.0,228359.0,0.0330833110099115,0.0916666666666666,0.0472222222222222,0.1242063492063492,0.4978354978354978,0.0785,0.0352,0.3471,0.1636,0.1996,2,0,0,0.87,NEEDHAM,819,786,14.545003000000001,not_available
25023509102,Census Tract 5091.02,Plymouth,6574.0,114844.0,0.0414634146341463,0.1870007262164124,0.1158315177923021,0.231413612565445,0.3980582524271844,0.354,0.0986,0.607,0.0406,0.6729,2,0,0,0.249,KINGSTON,479,433,17.648714,not_available
